Index;year_date_naissance;sexe;Revenus K;Enfant ?;Conduite accompagnée ?;usage_vehicule;type_vehicule;Rouge ?;points_perdus;age_vehicule;type_conduite;mm_yy_date_demande;formule;Tarif
1;1999;F;125K-150K;VRAI;FAUX;Commercial;Sports Car;FAUX;0;7; Urban;01/02/2022;integral;300-399
2;1932;F;50K-75K;VRAI;VRAI;Private;Minivan;FAUX;2;1; Urban;01/05/2022;express;200-299
3;1978;F;-25K;VRAI;FAUX;Private;Pickup;FAUX;0;4; Rural;01/01/2022;express;200-299
4;2021;F;-25K;FAUX;FAUX;Private;SUV;FAUX;3;5; Urban;01/04/2022;integral;300-399
5;1956;M;;FAUX;FAUX;Commercial;Panel Truck;FAUX;2;12; Urban;01/03/2022;vip;600-699
6;1992;F;75K-100K;VRAI;FAUX;Private;SUV;FAUX;2;15; Rural;01/03/2022;premium;400-499
7;1941;F;125K-150K;VRAI;VRAI;Commercial;Minivan;FAUX;0;9; Rural;01/03/2022;express;200-299
8;1956;M;50K-75K;FAUX;FAUX;Private;SUV;FAUX;1;10; Urban;01/03/2022;premium;300-399
9;1956;M;100K-125K;FAUX;FAUX;Private;Minivan;FAUX;0;14; Urban;01/01/2022;premium;300-399
10;1974;F;;FAUX;FAUX;Commercial;Panel Truck;VRAI;1;10; Urban;01/03/2022;integral;300-399
11;1967;F;-25K;VRAI;VRAI;Private;Minivan;FAUX;0;10; Urban;01/05/2022;express;200-299
12;2017;M;-25K;VRAI;FAUX;Private;SUV;FAUX;0;1; Urban;01/01/2022;premium;300-399
13;1950;F;50K-75K;FAUX;FAUX;Private;SUV;FAUX;0;18; Urban;01/05/2022;express;200-299
14;2017;M;-25K;FAUX;FAUX;Commercial;Van;FAUX;5;6; Rural;01/05/2022;integral;300-399
15;1945;M;25K-50K;VRAI;FAUX;Private;Minivan;FAUX;0;1; Urban;01/04/2022;integral;300-399
16;1938;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;13; Urban;01/05/2022;express;200-299
17;1973;F;100K-125K;FAUX;FAUX;Private;SUV;FAUX;0;15; Urban;01/04/2022;integral;300-399
18;1936;F;50K-75K;FAUX;FAUX;Commercial;Van;VRAI;1;8; Urban;01/03/2022;express;200-299
19;1955;F;75K-100K;FAUX;FAUX;Private;Minivan;VRAI;0;11; Urban;01/02/2022;express;200-299
20;1940;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;0;10; Urban;01/04/2022;integral;200-299
21;1988;M;50K-75K;VRAI;FAUX;Private;Minivan;FAUX;0;16; Rural;01/03/2022;express;200-299
22;1931;M;25K-50K;VRAI;VRAI;Private;Minivan;FAUX;1;; Urban;01/03/2022;premium;300-399
23;2000;F;;FAUX;FAUX;Commercial;Van;VRAI;0;7; Urban;01/05/2022;premium;300-399
24;1941;F;25K-50K;VRAI;FAUX;Commercial;Sports Car;FAUX;5;1; Urban;01/02/2022;premium;400-499
25;2004;M;-25K;FAUX;FAUX;Commercial;Pickup;FAUX;1;1; Urban;01/04/2022;express;200-299
26;1957;M;;FAUX;FAUX;Private;Minivan;VRAI;1;; Rural;01/04/2022;express;200-299
27;1998;F;25K-50K;FAUX;FAUX;Private;Sports Car;FAUX;0;1; Rural;01/03/2022;integral;200-299
28;1978;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;5;; Urban;01/04/2022;integral;200-299
29;1969;F;50K-75K;FAUX;FAUX;Private;SUV;FAUX;0;1; Urban;01/03/2022;vip;800-899
30;2006;F;100K-125K;FAUX;FAUX;Private;SUV;FAUX;0;17; Urban;01/02/2022;premium;300-399
31;1974;F;25K-50K;VRAI;FAUX;Private;SUV;FAUX;0;1; Urban;01/01/2022;express;200-299
32;1984;M;25K-50K;VRAI;FAUX;Commercial;Minivan;VRAI;6;5; Rural;01/04/2022;integral;300-399
33;1957;F;100K-125K;FAUX;FAUX;Private;SUV;FAUX;3;9; Urban;01/03/2022;express;200-299
34;2018;M;25K-50K;FAUX;FAUX;Private;SUV;FAUX;2;6; Rural;01/02/2022;premium;400-499
35;1978;M;50K-75K;VRAI;VRAI;Private;Sports Car;FAUX;0;12; Urban;01/02/2022;express;200-299
36;1954;F;-25K;FAUX;FAUX;Private;SUV;FAUX;0;9; Urban;01/02/2022;integral;300-399
37;1961;F;25K-50K;FAUX;FAUX;Commercial;Sports Car;FAUX;0;15; Urban;01/02/2022;express;200-299
38;2016;F;75K-100K;VRAI;FAUX;Private;SUV;FAUX;2;14; Urban;01/02/2022;integral;200-299
39;1967;F;150K-175K;FAUX;FAUX;Private;Minivan;FAUX;0;15; Urban;01/05/2022;integral;200-299
40;1988;M;50K-75K;FAUX;FAUX;Private;SUV;FAUX;1;11; Rural;01/03/2022;premium;400-499
41;2004;F;;VRAI;VRAI;Private;Sports Car;FAUX;0;10; Urban;01/05/2022;express;200-299
